Trial 94: {'num_heads': 8, 'num_layers': 2, 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 9.58912037037037, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
Trial 95: {'num_heads': 4, 'num_layers': 3, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 96.35455304154303, 'val_acc': 23.81172768084417, 'test_acc': 23.867002369668246}
Trial 96: {'num_heads': 4, 'num_layers': 2, 'dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 87.48609050445104, 'val_acc': 25.39454806312769, 'test_acc': 25.47763625592417}
Trial 97: {'num_heads': 8, 'num_layers': 1, 'dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'batch_size': 256, 'train_acc': 84.02030786350149, 'val_acc': 21.40510019900958, 'test_acc': 21.29739336492891}
Trial 98: {'num_heads': 2, 'num_layers': 3, 'dropout': 0.5, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 128, 'train_acc': 9.604166666666666, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}
Trial 99: {'num_heads': 4, 'num_layers': 2, 'dropout': 0.3, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 13.080721439169139, 'val_acc': 9.39973156847318, 'test_acc': 9.393513033175356}
Trial 100: {'num_heads': 8, 'num_layers': 3, 'dropout': 0.3, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'batch_size': 128, 'train_acc': 9.58912037037037, 'val_acc': 9.473781644837322, 'test_acc': 9.13433056872038}

=== Best Result ===
{'num_heads': 4, 'num_layers': 2, 'dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'batch_size': 256, 'train_acc': 87.48609050445104, 'val_acc': 25.39454806312769, 'test_acc': 25.47763625592417}
