=== Experiment Summary ===
Feature Folder: trajectory_plots
Timestamp: 2025-05-16_16-44-15
Total Classes: 20
SNR: 0 dB
fd (Doppler shift): 960.0 Hz
Epoch 49 | Train Loss: 2.3407 | Train Accuracy: 22.40% | Validation Loss: 2.3235 | Validation Accuracy: 24.15%
Epoch 50 | Train Loss: 2.3408 | Train Accuracy: 22.19% | Validation Loss: 2.3226 | Validation Accuracy: 24.17%
Epoch 51 | Train Loss: 2.3375 | Train Accuracy: 22.55% | Validation Loss: 2.3179 | Validation Accuracy: 24.23%
Epoch 52 | Train Loss: 2.3375 | Train Accuracy: 22.53% | Validation Loss: 2.3194 | Validation Accuracy: 24.22%
Epoch 53 | Train Loss: 2.3365 | Train Accuracy: 22.53% | Validation Loss: 2.3160 | Validation Accuracy: 24.29%
Epoch 54 | Train Loss: 2.3352 | Train Accuracy: 22.58% | Validation Loss: 2.3192 | Validation Accuracy: 24.32%
Epoch 55 | Train Loss: 2.3356 | Train Accuracy: 22.73% | Validation Loss: 2.3155 | Validation Accuracy: 24.36%
Epoch 56 | Train Loss: 2.3335 | Train Accuracy: 22.61% | Validation Loss: 2.3167 | Validation Accuracy: 24.31%
Epoch 57 | Train Loss: 2.3345 | Train Accuracy: 22.51% | Validation Loss: 2.3166 | Validation Accuracy: 24.36%
Epoch 58 | Train Loss: 2.3305 | Train Accuracy: 22.69% | Validation Loss: 2.3158 | Validation Accuracy: 24.31%
Epoch 59 | Train Loss: 2.3345 | Train Accuracy: 22.63% | Validation Loss: 2.3155 | Validation Accuracy: 24.35%
Epoch 60 | Train Loss: 2.3309 | Train Accuracy: 22.70% | Validation Loss: 2.3152 | Validation Accuracy: 24.37%
Epoch 61 | Train Loss: 2.3324 | Train Accuracy: 22.64% | Validation Loss: 2.3134 | Validation Accuracy: 24.36%
Epoch 62 | Train Loss: 2.3289 | Train Accuracy: 22.72% | Validation Loss: 2.3136 | Validation Accuracy: 24.37%
Epoch 63 | Train Loss: 2.3303 | Train Accuracy: 22.73% | Validation Loss: 2.3124 | Validation Accuracy: 24.41%
Epoch 64 | Train Loss: 2.3331 | Train Accuracy: 22.55% | Validation Loss: 2.3115 | Validation Accuracy: 24.42%
Epoch 65 | Train Loss: 2.3280 | Train Accuracy: 22.64% | Validation Loss: 2.3118 | Validation Accuracy: 24.41%
Epoch 66 | Train Loss: 2.3286 | Train Accuracy: 22.77% | Validation Loss: 2.3123 | Validation Accuracy: 24.42%
Epoch 67 | Train Loss: 2.3267 | Train Accuracy: 22.77% | Validation Loss: 2.3121 | Validation Accuracy: 24.44%
Epoch 68 | Train Loss: 2.3288 | Train Accuracy: 22.79% | Validation Loss: 2.3124 | Validation Accuracy: 24.44%
Epoch 69 | Train Loss: 2.3279 | Train Accuracy: 22.95% | Validation Loss: 2.3122 | Validation Accuracy: 24.42%
Epoch 1 | Train Loss: 3.0268 | Train Accuracy: 7.37% | Validation Loss: 2.9595 | Validation Accuracy: 9.39%
Epoch 2 | Train Loss: 3.0022 | Train Accuracy: 7.69% | Validation Loss: 2.9574 | Validation Accuracy: 9.39%
Epoch 3 | Train Loss: 2.9940 | Train Accuracy: 7.81% | Validation Loss: 2.9579 | Validation Accuracy: 9.39%
Epoch 4 | Train Loss: 2.9907 | Train Accuracy: 7.97% | Validation Loss: 2.9568 | Validation Accuracy: 9.39%
Epoch 5 | Train Loss: 2.9890 | Train Accuracy: 8.19% | Validation Loss: 2.9575 | Validation Accuracy: 9.39%
Epoch 6 | Train Loss: 2.9865 | Train Accuracy: 8.22% | Validation Loss: 2.9572 | Validation Accuracy: 9.39%
Epoch 7 | Train Loss: 2.9853 | Train Accuracy: 8.25% | Validation Loss: 2.9566 | Validation Accuracy: 9.39%
Epoch 8 | Train Loss: 2.9830 | Train Accuracy: 8.36% | Validation Loss: 2.9564 | Validation Accuracy: 9.39%
Epoch 9 | Train Loss: 2.9818 | Train Accuracy: 8.40% | Validation Loss: 2.9561 | Validation Accuracy: 9.39%
Epoch 10 | Train Loss: 2.9788 | Train Accuracy: 8.70% | Validation Loss: 2.9531 | Validation Accuracy: 9.39%
Epoch 11 | Train Loss: 2.9748 | Train Accuracy: 8.49% | Validation Loss: 2.9509 | Validation Accuracy: 9.39%
Epoch 12 | Train Loss: 2.9719 | Train Accuracy: 8.64% | Validation Loss: 2.9440 | Validation Accuracy: 9.39%
Epoch 13 | Train Loss: 2.9670 | Train Accuracy: 9.00% | Validation Loss: 2.9215 | Validation Accuracy: 9.88%
Epoch 14 | Train Loss: 2.9541 | Train Accuracy: 9.53% | Validation Loss: 2.8653 | Validation Accuracy: 13.48%
