=== Experiment Summary ===
Feature Folder: trajectory_plots
Timestamp: 2025-05-06_14-50-58
Total Classes: 20
SNR: 10 dB
fd (Doppler shift): no Hz
Epoch 15 | Train Loss: 1.3647 | Train Accuracy: 47.80% | Validation Loss: 1.2771 | Validation Accuracy: 51.06%
Epoch 16 | Train Loss: 1.3455 | Train Accuracy: 48.64% | Validation Loss: 1.2810 | Validation Accuracy: 50.85%
Epoch 17 | Train Loss: 1.3295 | Train Accuracy: 48.99% | Validation Loss: 1.2580 | Validation Accuracy: 51.89%
Epoch 18 | Train Loss: 1.3142 | Train Accuracy: 49.72% | Validation Loss: 1.2341 | Validation Accuracy: 52.90%
Epoch 19 | Train Loss: 1.2978 | Train Accuracy: 50.29% | Validation Loss: 1.2380 | Validation Accuracy: 52.94%
Epoch 20 | Train Loss: 1.2843 | Train Accuracy: 50.62% | Validation Loss: 1.2089 | Validation Accuracy: 54.07%
Epoch 21 | Train Loss: 1.2645 | Train Accuracy: 51.54% | Validation Loss: 1.1983 | Validation Accuracy: 54.24%
Epoch 22 | Train Loss: 1.2557 | Train Accuracy: 51.72% | Validation Loss: 1.1889 | Validation Accuracy: 54.69%
Epoch 23 | Train Loss: 1.2492 | Train Accuracy: 52.16% | Validation Loss: 1.1699 | Validation Accuracy: 55.11%
Epoch 24 | Train Loss: 1.2362 | Train Accuracy: 52.53% | Validation Loss: 1.1694 | Validation Accuracy: 55.37%
Epoch 25 | Train Loss: 1.2258 | Train Accuracy: 52.91% | Validation Loss: 1.1558 | Validation Accuracy: 55.94%
Epoch 26 | Train Loss: 1.2189 | Train Accuracy: 53.25% | Validation Loss: 1.1455 | Validation Accuracy: 56.33%
Epoch 27 | Train Loss: 1.2071 | Train Accuracy: 53.58% | Validation Loss: 1.1481 | Validation Accuracy: 56.37%
Epoch 28 | Train Loss: 1.2013 | Train Accuracy: 53.64% | Validation Loss: 1.1297 | Validation Accuracy: 57.14%
Epoch 29 | Train Loss: 1.1905 | Train Accuracy: 54.29% | Validation Loss: 1.1212 | Validation Accuracy: 57.30%
Epoch 30 | Train Loss: 1.1787 | Train Accuracy: 54.82% | Validation Loss: 1.1031 | Validation Accuracy: 58.17%
Epoch 31 | Train Loss: 1.1717 | Train Accuracy: 55.07% | Validation Loss: 1.0991 | Validation Accuracy: 58.09%
Epoch 32 | Train Loss: 1.1660 | Train Accuracy: 55.34% | Validation Loss: 1.0832 | Validation Accuracy: 58.54%
Epoch 33 | Train Loss: 1.1690 | Train Accuracy: 55.22% | Validation Loss: 1.0891 | Validation Accuracy: 58.40%
Epoch 34 | Train Loss: 1.1595 | Train Accuracy: 55.60% | Validation Loss: 1.0764 | Validation Accuracy: 58.83%
